"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.056,"2.162","2.054"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","30.03.",2.044,"2.144","2.044"
"5","Teboil Express, Papinhaka Papinhaankatu 7","29.03.",2.059,"2.159","2.059"
"6","Neste, Syvärauma Syväraumankatu 24","29.03.",2.009,"2.069","2.079"
"7","Teboil (A), Sampaanala Nortamonkatu 35","29.03.",2.064,"2.164","-"
"8","St1,  Nortamonkatu 19","29.03.",2.079,"2.179","2.079"
"9","ABC, Kortela Unajantie 2, 8-tie","29.03.",2.089,"2.189","-"
"10","St1, Kortela Vanha Turuntie, 8-tie","29.03.",2.069,"2.169","-"
"11","ABC, Talliketo Tallikedonkatu 12","29.03.",2.089,"2.189","-"
"12","ABC, Prisma Porintie 4 (E85 1.671)","29.03.",2.089,"2.199","-"
"13","Shell Express,  Karjalankatu (*Vpower)","28.03.",1.969,"-","2.009"
