"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.104,"2.204","2.246"
"3","","",NA,"",""
"4","Shell Express,  Karjalankatu (*Vpower)","28.10.",2.084,"*2.194","-"
"5","Neste,  Karjalankatu 7","28.10.",2.089,"2.189","2.224"
"6","ABC, Sale Monnankatu 4","27.10.",2.151,"2.241","2.291"
"7","Neste Oil, K-Supermarket Ahteentie 1","27.10.",2.124,"2.214","2.264"
"8","Teboil (A), Sampaanala Nortamonkatu 35","27.10.",2.124,"2.224","2.274"
"9","ABC, Talliketo Tallikedonkatu 12","26.10.",2.155,"2.255","2.305"
"10","Teboil Express, Papinhaka Papinhaankatu 7","26.10.",2.063,"2.163","-"
"11","ABC, Kortela Unajantie 2, 8-tie","25.10.",2.09,"2.190","2.209"
"12","St1, Kortela Vanha Turuntie, 8-tie","25.10.",2.063,"2.163","2.182"
"13","St1,  Nortamonkatu 19","24.10.",2.098,"2.198","2.218"
