"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.148,"2.246","2.225"
"3","","",NA,"",""
"4","ABC, Kortela Unajantie 2, 8-tie","13.10.",2.176,"2.276","2.276"
"5","ABC, Talliketo Tallikedonkatu 12","13.10.",2.165,"2.265","2.275"
"6","St1,  Nortamonkatu 19","13.10.",2.155,"2.255","2.269"
"7","Neste,  Karjalankatu 7","13.10.",2.134,"2.234","2.239"
"8","Teboil Express, Papinhaka Papinhaankatu 7","12.10.",2.147,"-","-"
"9","ABC, Sale Monnankatu 4","11.10.",2.176,"2.276","2.226"
"10","Neste Oil, K-Supermarket Ahteentie 1","11.10.",2.149,"2.249","2.199"
"11","ABC, Prisma Porintie 4 (E85 1.671)","11.10.",2.177,"2.287","2.227"
"12","St1, Kortela Vanha Turuntie, 8-tie","11.10.",2.149,"2.249","2.199"
"13","Neste, Syvärauma Syväraumankatu 24","11.10.",2.119,"2.179","-"
"14","Shell Express,  Karjalankatu (*Vpower)","11.10.",2.149,"*2.259","2.199"
"15","ABC, S-Market Äyhönjärventie 1","10.10.",2.081,"2.186","2.141"
