"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.115,"2.217","2.246"
"3","","",NA,"",""
"4","Teboil (A), Sampaanala Nortamonkatu 35","21.10.",2.114,"2.214","2.248"
"5","ABC, Talliketo Tallikedonkatu 12","21.10.",2.134,"2.234","2.254"
"6","ABC, Prisma Porintie 4 (E85 1.671)","21.10.",2.136,"2.246","2.256"
"7","St1,  Nortamonkatu 19","21.10.",2.114,"2.214","2.244"
"8","ABC, Kortela Unajantie 2, 8-tie","21.10.",2.141,"2.241","2.291"
"9","St1, Kortela Vanha Turuntie, 8-tie","21.10.",2.114,"2.214","2.264"
"10","Neste,  Karjalankatu 7","21.10.",2.108,"2.208","-"
"11","Shell Express,  Karjalankatu (*Vpower)","21.10.",2.108,"*2.218","-"
"12","Teboil Express, Papinhaka Papinhaankatu 7","19.10.",2.062,"2.162","2.162"
