"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.983,"2.098","2.173"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","27.01.",2.014,"2.124","2.159"
"5","ABC, Kortela Unajantie 2, 8-tie","27.01.",2.038,"2.148","2.193"
"6","Teboil (A), Sampaanala Nortamonkatu 35","27.01.",2.044,"2.144","-"
"7","St1, Kortela Vanha Turuntie, 8-tie","27.01.",2.014,"2.124","2.169"
"8","St1,  Nortamonkatu 19","27.01.",2.024,"2.134","-"
"9","Neste Oil, K-Supermarket Ahteentie 1","26.01.",2.029,"2.139","2.179"
"10","ABC, Sale Monnankatu 4","26.01.",2.053,"2.163","-"
"11","Teboil Express, Papinhaka Papinhaankatu 7","25.01.",1.879,"1.979","-"
"12","Shell Express,  Karjalankatu (*Vpower)","23.01.",1.887,"-","-"
"13","ABC, Prisma Porintie 4 (E85 1.671)","23.01.",1.911,"2.041","2.166"
"14","ABC, Talliketo Tallikedonkatu 12","23.01.",1.909,"2.009","2.165"
"15","Neste, Syvärauma Syväraumankatu 24","23.01.",1.999,"2.069","2.179"
